first_win,name,seasons,poles,top_ten,last_win,podiums,first_race,wins,titles,last_race,country
,Kojima 🇯🇵,3,0,0,,0,1976-10-24T00:00:00.000Z,0,0,1977-10-23T00:00:00.000Z,Japan
,Spyker 🇳🇱,34,0,1,,0,2007-03-18T00:00:00.000Z,0,0,2007-10-21T00:00:00.000Z,Netherlands
,Spyker MF1 🇳🇱,8,0,0,,0,2006-09-10T00:00:00.000Z,0,0,2006-10-22T00:00:00.000Z,Netherlands
,Lambo 🇮🇹,32,0,2,,0,1991-03-10T00:00:00.000Z,0,0,1991-11-03T00:00:00.000Z,Italy
,Lancia 🇮🇹,11,2,3,,1,1954-10-24T00:00:00.000Z,0,0,1955-06-05T00:00:00.000Z,Italy
,Langley 🇺🇸,1,0,0,,0,1950-05-30T00:00:00.000Z,0,0,1950-05-30T00:00:00.000Z,USA
,Larrousse 🇫🇷,216,0,53,,1,1987-05-03T00:00:00.000Z,0,0,1994-11-13T00:00:00.000Z,France
,LDS 🇿🇦,4,0,0,,0,1962-12-29T00:00:00.000Z,0,0,1968-01-01T00:00:00.000Z,South Africa
,LDS-Alfa Romeo 🇿🇦,2,0,0,,0,1965-01-01T00:00:00.000Z,0,0,1965-01-01T00:00:00.000Z,South Africa
,LDS-Climax 🇿🇦,2,0,0,,0,1965-01-01T00:00:00.000Z,0,0,1967-01-02T00:00:00.000Z,South Africa
,LEC 🇬🇧,5,0,0,,0,1977-05-08T00:00:00.000Z,0,0,1977-07-16T00:00:00.000Z,UK
,Lesovsky 🇺🇸,15,1,6,,1,1950-05-30T00:00:00.000Z,0,0,1960-05-30T00:00:00.000Z,USA
,Zakspeed 🇩🇪,133,0,14,,0,1985-04-21T00:00:00.000Z,0,0,1989-11-05T00:00:00.000Z,Germany
,Life 🇮🇹,14,0,0,,0,1990-03-11T00:00:00.000Z,0,0,1990-09-30T00:00:00.000Z,Italy
