name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
2002 Brazilian Grand Prix 🇧🇷,1:31:43.662,3,71,Ferrari 🇮🇹,2002-03-31,Autódromo José Carlos Pace,Michael Schumacher 🇩🇪,2002
2003 Brazilian Grand Prix 🇧🇷,1:31:18.2,3,54,Jordan 🇮🇪,2003-04-06,Autódromo José Carlos Pace,Giancarlo Fisichella 🇮🇹,2003
2004 Brazilian Grand Prix 🇧🇷,1:28:01.451,18,71,Williams 🇬🇧,2004-10-24,Autódromo José Carlos Pace,Juan Pablo Montoya 🇨🇴,2004
2005 Brazilian Grand Prix 🇧🇷,1:29:20.574,17,71,McLaren 🇬🇧,2005-09-25,Autódromo José Carlos Pace,Juan Pablo Montoya 🇨🇴,2005
2006 Brazilian Grand Prix 🇧🇷,1:31:53.751,18,71,Ferrari 🇮🇹,2006-10-22,Autódromo José Carlos Pace,Felipe Massa 🇧🇷,2006
2007 Brazilian Grand Prix 🇧🇷,1:28:15.270,17,71,Ferrari 🇮🇹,2007-10-21,Autódromo José Carlos Pace,Kimi Räikkönen 🇫🇮,2007
2008 Brazilian Grand Prix 🇧🇷,1:34:11.435,18,71,Ferrari 🇮🇹,2008-11-02,Autódromo José Carlos Pace,Felipe Massa 🇧🇷,2008
2009 Brazilian Grand Prix 🇧🇷,1:32:23.081,16,71,Red Bull 🇦🇹,2009-10-18,Autódromo José Carlos Pace,Mark Webber 🇦🇺,2009
2010 Brazilian Grand Prix 🇧🇷,1:33:11.803,18,71,Red Bull 🇦🇹,2010-11-07,Autódromo José Carlos Pace,Sebastian Vettel 🇩🇪,2010
2011 Brazilian Grand Prix 🇧🇷,1:32:17.464,19,71,Red Bull 🇦🇹,2011-11-27,Autódromo José Carlos Pace,Mark Webber 🇦🇺,2011
2012 Brazilian Grand Prix 🇧🇷,1:45:22.656,20,71,McLaren 🇬🇧,2012-11-25,Autódromo José Carlos Pace,Jenson Button 🇬🇧,2012
2013 Brazilian Grand Prix 🇧🇷,1:32:36.300,19,71,Red Bull 🇦🇹,2013-11-24,Autódromo José Carlos Pace,Sebastian Vettel 🇩🇪,2013
2014 Brazilian Grand Prix 🇧🇷,1:30:02.555,18,71,Mercedes 🇩🇪,2014-11-09,Autódromo José Carlos Pace,Nico Rosberg 🇩🇪,2014
2015 Brazilian Grand Prix 🇧🇷,1:31:09.090,18,71,Mercedes 🇩🇪,2015-11-15,Autódromo José Carlos Pace,Nico Rosberg 🇩🇪,2015
2016 Brazilian Grand Prix 🇧🇷,3:01:01.335,20,71,Mercedes 🇩🇪,2016-11-13,Autódromo José Carlos Pace,Lewis Hamilton 🇬🇧,2016
2017 Brazilian Grand Prix 🇧🇷,,19,,,2017-11-12,Autódromo José Carlos Pace,,2017
