name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1961 Monaco Grand Prix 🇲🇨,1,0,0,Lotus-Climax 🇬🇧,1961-05-14,F,,1961,Stirling Moss 🇬🇧
1961 United States Grand Prix 🇺🇸,8,11,23,Lotus-Climax 🇬🇧,1961-10-08,R,,1961,Innes Ireland 🇬🇧
1962 Belgian Grand Prix 🇧🇪,3,8,13,Lotus-Climax 🇬🇧,1962-06-17,R,,1962,Jim Clark 🇬🇧
1962 British Grand Prix 🇬🇧,5,14,74,Lotus-Climax 🇬🇧,1962-07-21,7,,1962,Jim Clark 🇬🇧
1962 Dutch Grand Prix 🇳🇱,1,16,54,BRM 🇬🇧,1962-05-20,R,,1962,Graham Hill 🇬🇧
1962 French Grand Prix 🇫🇷,4,7,15,Porsche 🇩🇪,1962-07-08,R,,1962,Dan Gurney 🇺🇸
1962 Italian Grand Prix 🇮🇹,7,6,77,BRM 🇬🇧,1962-09-16,12,,1962,Graham Hill 🇬🇧
1962 Monaco Grand Prix 🇲🇨,2,0,0,Cooper-Climax 🇬🇧,1962-06-03,F,,1962,Bruce McLaren 🇳🇿
1962 United States Grand Prix 🇺🇸,8,7,99,Lotus-Climax 🇬🇧,1962-10-07,6,,1962,Jim Clark 🇬🇧
1963 British Grand Prix 🇬🇧,5,22,75,Lotus-Climax 🇬🇧,1963-07-20,11,,1963,Jim Clark 🇬🇧
1963 French Grand Prix 🇫🇷,4,19,30,Lotus-Climax 🇬🇧,1963-06-30,R,,1963,Jim Clark 🇬🇧
1963 German Grand Prix 🇩🇪,6,0,0,Ferrari 🇮🇹,1963-08-04,W,,1963,John Surtees 🇬🇧
1963 Italian Grand Prix 🇮🇹,7,12,26,Lotus-Climax 🇬🇧,1963-09-08,R,,1963,Jim Clark 🇬🇧
1963 Mexican Grand Prix 🇲🇽,9,14,23,Lotus-Climax 🇬🇧,1963-10-27,R,,1963,Jim Clark 🇬🇧
1963 United States Grand Prix 🇺🇸,8,8,14,BRM 🇬🇧,1963-10-06,R,,1963,Graham Hill 🇬🇧
1965 Belgian Grand Prix 🇧🇪,3,20,12,Lotus-Climax 🇬🇧,1965-06-13,R,,1965,Jim Clark 🇬🇧
1965 British Grand Prix 🇬🇧,5,19,70,Lotus-Climax 🇬🇧,1965-07-10,12,,1965,Jim Clark 🇬🇧
1965 German Grand Prix 🇩🇪,7,19,14,Lotus-Climax 🇬🇧,1965-08-01,8,,1965,Jim Clark 🇬🇧
1965 Italian Grand Prix 🇮🇹,8,23,22,BRM 🇬🇧,1965-09-12,R,,1965,Jackie Stewart 🇬🇧
