name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1970 Spanish Grand Prix 🇪🇸,2,0,0,March 🇬🇧,1970-04-19,F,,1970,Jackie Stewart 🇬🇧
1970 United States Grand Prix 🇺🇸,12,23,105,Team Lotus 🇬🇧,1970-10-04,9,,1970,Emerson Fittipaldi 🇧🇷
1971 Austrian Grand Prix 🇦🇹,8,1,54,BRM 🇬🇧,1971-08-15,1,1:30:23.91,1971,Jo Siffert 🇨🇭
1971 British Grand Prix 🇬🇧,6,3,66,Tyrrell 🇬🇧,1971-07-17,9,,1971,Jackie Stewart 🇬🇧
1971 Canadian Grand Prix 🇨🇦,10,2,61,Tyrrell 🇬🇧,1971-09-19,9,,1971,Jackie Stewart 🇬🇧
1971 Dutch Grand Prix 🇳🇱,4,8,68,Ferrari 🇮🇹,1971-06-20,6,,1971,Jacky Ickx 🇧🇪
1971 French Grand Prix 🇫🇷,5,6,55,Tyrrell 🇬🇧,1971-07-04,4,+37.17,1971,Jackie Stewart 🇬🇧
1971 German Grand Prix 🇩🇪,7,3,6,Tyrrell 🇬🇧,1971-08-01,D,,1971,Jackie Stewart 🇬🇧
1971 Italian Grand Prix 🇮🇹,9,3,53,BRM 🇬🇧,1971-09-05,9,,1971,Peter Gethin 🇬🇧
1971 Monaco Grand Prix 🇲🇨,3,3,58,Tyrrell 🇬🇧,1971-05-23,R,,1971,Jackie Stewart 🇬🇧
1971 South African Grand Prix 🇿🇦,1,12,31,Ferrari 🇮🇹,1971-03-06,R,,1971,Mario Andretti 🇺🇸
1971 Spanish Grand Prix 🇪🇸,2,15,5,Tyrrell 🇬🇧,1971-04-18,R,,1971,Jackie Stewart 🇬🇧
1971 United States Grand Prix 🇺🇸,11,6,59,Tyrrell 🇬🇧,1971-10-03,2,+40.062,1971,François Cevert 🇫🇷
