name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1976 Spanish Grand Prix 🇪🇸,4,17,16,McLaren 🇬🇧,1976-05-02,R,,1976,James Hunt 🇬🇧
1976 Swedish Grand Prix 🇸🇪,7,20,52,Tyrrell 🇬🇧,1976-06-13,R,,1976,Jody Scheckter 🇿🇦
1976 United States Grand Prix West 🇺🇸,3,18,2,Ferrari 🇮🇹,1976-03-28,R,,1976,Clay Regazzoni 🇨🇭
1976 United States Grand Prix 🇺🇸,15,6,59,McLaren 🇬🇧,1976-10-10,5,+1:07.978,1976,James Hunt 🇬🇧
1977 Austrian Grand Prix 🇦🇹,12,4,54,Shadow 🇬🇧,1977-08-14,3,+34.5,1977,Alan Jones 🇦🇺
1977 Belgian Grand Prix 🇧🇪,7,18,69,Team Lotus 🇬🇧,1977-06-05,6,,1977,Gunnar Nilsson 🇸🇪
1977 British Grand Prix 🇬🇧,10,7,68,McLaren 🇬🇧,1977-07-16,5,+1:11.73,1977,James Hunt 🇬🇧
1977 Canadian Grand Prix 🇨🇦,16,13,19,Wolf 🇨🇦,1977-10-09,R,,1977,Jody Scheckter 🇿🇦
1977 Dutch Grand Prix 🇳🇱,13,19,73,Ferrari 🇮🇹,1977-08-28,7,,1977,Niki Lauda 🇦🇹
1977 French Grand Prix 🇫🇷,9,13,64,Team Lotus 🇬🇧,1977-07-03,R,,1977,Mario Andretti 🇺🇸
1977 German Grand Prix 🇩🇪,11,5,47,Ferrari 🇮🇹,1977-07-31,3,+20.9,1977,Niki Lauda 🇦🇹
1977 Italian Grand Prix 🇮🇹,14,11,31,Team Lotus 🇬🇧,1977-09-11,R,,1977,Mario Andretti 🇺🇸
1977 Japanese Grand Prix 🇯🇵,17,4,72,McLaren 🇬🇧,1977-10-23,7,,1977,James Hunt 🇬🇧
1977 Monaco Grand Prix 🇲🇨,6,5,19,Wolf 🇨🇦,1977-05-22,R,,1977,Jody Scheckter 🇿🇦
1977 South African Grand Prix 🇿🇦,3,18,55,Ferrari 🇮🇹,1977-03-05,R,,1977,Niki Lauda 🇦🇹
1977 Spanish Grand Prix 🇪🇸,5,13,74,Team Lotus 🇬🇧,1977-05-08,6,,1977,Mario Andretti 🇺🇸
1977 Swedish Grand Prix 🇸🇪,8,5,71,Ligier 🇫🇷,1977-06-19,10,,1977,Jacques Laffite 🇫🇷
1977 United States Grand Prix West 🇺🇸,4,17,53,Team Lotus 🇬🇧,1977-04-03,R,,1977,Mario Andretti 🇺🇸
1977 United States Grand Prix 🇺🇸,15,2,14,McLaren 🇬🇧,1977-10-02,R,,1977,James Hunt 🇬🇧
1978 Argentine Grand Prix 🇦🇷,1,18,50,Team Lotus 🇬🇧,1978-01-15,17,,1978,Mario Andretti 🇺🇸
1978 Austrian Grand Prix 🇦🇹,12,23,33,Team Lotus 🇬🇧,1978-08-13,R,,1978,Ronnie Peterson 🇸🇪
1978 Belgian Grand Prix 🇧🇪,6,10,56,Team Lotus 🇬🇧,1978-05-21,R,,1978,Mario Andretti 🇺🇸
1978 Brazilian Grand Prix 🇧🇷,2,9,25,Ferrari 🇮🇹,1978-01-29,R,,1978,Carlos Reutemann 🇦🇷
1978 British Grand Prix 🇬🇧,10,18,75,Ferrari 🇮🇹,1978-07-16,5,,1978,Carlos Reutemann 🇦🇷
1978 Canadian Grand Prix 🇨🇦,16,8,1,Ferrari 🇮🇹,1978-10-08,R,,1978,Gilles Villeneuve 🇨🇦
1978 Dutch Grand Prix 🇳🇱,13,18,56,Team Lotus 🇬🇧,1978-08-27,R,,1978,Mario Andretti 🇺🇸
1978 French Grand Prix 🇫🇷,9,20,53,Team Lotus 🇬🇧,1978-07-02,11,,1978,Mario Andretti 🇺🇸
1978 German Grand Prix 🇩🇪,11,24,1,Team Lotus 🇬🇧,1978-07-30,R,,1978,Mario Andretti 🇺🇸
1978 Italian Grand Prix 🇮🇹,14,17,0,Brabham 🇬🇧,1978-09-10,R,,1978,Niki Lauda 🇦🇹
1978 Monaco Grand Prix 🇲🇨,5,17,24,Tyrrell 🇬🇧,1978-05-07,R,,1978,Patrick Depailler 🇫🇷
1978 South African Grand Prix 🇿🇦,3,0,0,Team Lotus 🇬🇧,1978-03-04,F,,1978,Ronnie Peterson 🇸🇪
1978 Spanish Grand Prix 🇪🇸,7,24,45,Team Lotus 🇬🇧,1978-06-04,R,,1978,Mario Andretti 🇺🇸
1978 Swedish Grand Prix 🇸🇪,8,20,68,Brabham 🇬🇧,1978-06-17,11,,1978,Niki Lauda 🇦🇹
1978 United States Grand Prix West 🇺🇸,4,0,0,Ferrari 🇮🇹,1978-04-02,W,,1978,Carlos Reutemann 🇦🇷
1978 United States Grand Prix 🇺🇸,15,14,1,Ferrari 🇮🇹,1978-10-01,R,,1978,Carlos Reutemann 🇦🇷
1979 Argentine Grand Prix 🇦🇷,1,0,0,Ligier 🇫🇷,1979-01-21,W,,1979,Jacques Laffite 🇫🇷
1979 Austrian Grand Prix 🇦🇹,11,18,28,Williams 🇬🇧,1979-08-12,R,,1979,Alan Jones 🇦🇺
1979 Belgian Grand Prix 🇧🇪,6,20,69,Ferrari 🇮🇹,1979-05-13,8,,1979,Jody Scheckter 🇿🇦
1979 Brazilian Grand Prix 🇧🇷,2,24,31,Ligier 🇫🇷,1979-02-04,R,,1979,Jacques Laffite 🇫🇷
1979 British Grand Prix 🇬🇧,9,0,0,Williams 🇬🇧,1979-07-14,F,,1979,Clay Regazzoni 🇨🇭
1979 Canadian Grand Prix 🇨🇦,14,12,14,Williams 🇬🇧,1979-09-30,R,,1979,Alan Jones 🇦🇺
1979 Dutch Grand Prix 🇳🇱,12,15,19,Williams 🇬🇧,1979-08-26,R,,1979,Alan Jones 🇦🇺
1979 French Grand Prix 🇫🇷,8,0,0,Renault 🇫🇷,1979-07-01,W,,1979,Jean-Pierre Jabouille 🇫🇷
1979 German Grand Prix 🇩🇪,10,23,0,Williams 🇬🇧,1979-07-29,R,,1979,Alan Jones 🇦🇺
1979 Italian Grand Prix 🇮🇹,13,15,49,Ferrari 🇮🇹,1979-09-09,11,,1979,Jody Scheckter 🇿🇦
1979 Monaco Grand Prix 🇲🇨,7,12,30,Ferrari 🇮🇹,1979-05-27,R,,1979,Jody Scheckter 🇿🇦
1979 South African Grand Prix 🇿🇦,3,24,57,Ferrari 🇮🇹,1979-03-03,R,,1979,Gilles Villeneuve 🇨🇦
1979 Spanish Grand Prix 🇪🇸,5,21,69,Ligier 🇫🇷,1979-04-29,14,,1979,Patrick Depailler 🇫🇷
1979 United States Grand Prix West 🇺🇸,4,21,49,Ferrari 🇮🇹,1979-04-08,D,,1979,Gilles Villeneuve 🇨🇦
1979 United States Grand Prix 🇺🇸,15,14,59,Ferrari 🇮🇹,1979-10-07,5,+1:41.259,1979,Gilles Villeneuve 🇨🇦
