name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1972 United States Grand Prix 🇺🇸,12,4,59,Tyrrell 🇬🇧,1972-10-08,2,+32.268,1972,Jackie Stewart 🇬🇧
1973 Argentine Grand Prix 🇦🇷,1,6,96,Team Lotus 🇬🇧,1973-01-28,2,+4.69,1973,Emerson Fittipaldi 🇧🇷
1973 Austrian Grand Prix 🇦🇹,12,10,6,Team Lotus 🇬🇧,1973-08-19,R,,1973,Ronnie Peterson 🇸🇪
1973 Belgian Grand Prix 🇧🇪,5,4,70,Tyrrell 🇬🇧,1973-05-20,2,+31.84,1973,Jackie Stewart 🇬🇧
1973 Brazilian Grand Prix 🇧🇷,2,9,38,Team Lotus 🇬🇧,1973-02-11,10,,1973,Emerson Fittipaldi 🇧🇷
1973 British Grand Prix 🇬🇧,9,7,67,McLaren 🇬🇧,1973-07-14,5,+36.6,1973,Peter Revson 🇺🇸
1973 Canadian Grand Prix 🇨🇦,14,6,32,McLaren 🇬🇧,1973-09-23,R,,1973,Peter Revson 🇺🇸
1973 Dutch Grand Prix 🇳🇱,10,3,72,Tyrrell 🇬🇧,1973-07-29,2,+15.83,1973,Jackie Stewart 🇬🇧
1973 French Grand Prix 🇫🇷,8,4,54,Team Lotus 🇬🇧,1973-07-01,2,+40.92,1973,Ronnie Peterson 🇸🇪
1973 German Grand Prix 🇩🇪,11,3,14,Tyrrell 🇬🇧,1973-08-05,2,+1.6,1973,Jackie Stewart 🇬🇧
1973 Italian Grand Prix 🇮🇹,13,11,55,Team Lotus 🇬🇧,1973-09-09,5,+46.2,1973,Ronnie Peterson 🇸🇪
1973 Monaco Grand Prix 🇲🇨,6,4,77,Tyrrell 🇬🇧,1973-06-03,4,,1973,Jackie Stewart 🇬🇧
1973 South African Grand Prix 🇿🇦,3,25,66,Tyrrell 🇬🇧,1973-03-03,N,,1973,Jackie Stewart 🇬🇧
1973 Spanish Grand Prix 🇪🇸,4,3,75,Team Lotus 🇬🇧,1973-04-29,2,+42.7,1973,Emerson Fittipaldi 🇧🇷
1973 Swedish Grand Prix 🇸🇪,7,2,80,McLaren 🇬🇧,1973-06-17,3,+14.667,1973,Denny Hulme 🇳🇿
1973 United States Grand Prix 🇺🇸,15,0,0,Team Lotus 🇬🇧,1973-10-07,W,,1973,Ronnie Peterson 🇸🇪
