name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1964 Belgian Grand Prix 🇧🇪,3,5,4,Lotus-Climax 🇬🇧,1964-06-14,R,,1964,Jim Clark 🇬🇧
1964 British Grand Prix 🇬🇧,5,5,80,Lotus-Climax 🇬🇧,1964-07-11,3,+1:20.6,1964,Jim Clark 🇬🇧
1964 Dutch Grand Prix 🇳🇱,2,4,80,Lotus-Climax 🇬🇧,1964-05-24,2,+53.6,1964,Jim Clark 🇬🇧
1964 French Grand Prix 🇫🇷,4,3,6,Brabham-Climax 🇬🇧,1964-06-28,R,,1964,Dan Gurney 🇺🇸
1964 German Grand Prix 🇩🇪,6,1,15,Ferrari 🇮🇹,1964-08-02,1,2:12:04.8,1964,John Surtees 🇬🇧
1964 Italian Grand Prix 🇮🇹,8,1,78,Ferrari 🇮🇹,1964-09-06,1,2:10:51.8,1964,John Surtees 🇬🇧
1964 Mexican Grand Prix 🇲🇽,10,4,65,Brabham-Climax 🇬🇧,1964-10-25,2,+1:08.94,1964,Dan Gurney 🇺🇸
1964 Monaco Grand Prix 🇲🇨,1,4,15,BRM 🇬🇧,1964-05-10,R,,1964,Graham Hill 🇬🇧
1964 United States Grand Prix 🇺🇸,9,2,110,BRM 🇬🇧,1964-10-04,2,+30.5,1964,Graham Hill 🇬🇧
1965 Belgian Grand Prix 🇧🇪,3,6,5,Lotus-Climax 🇬🇧,1965-06-13,R,,1965,Jim Clark 🇬🇧
1965 British Grand Prix 🇬🇧,5,5,80,Lotus-Climax 🇬🇧,1965-07-10,3,+27.6,1965,Jim Clark 🇬🇧
1965 Dutch Grand Prix 🇳🇱,6,4,79,Lotus-Climax 🇬🇧,1965-07-18,7,,1965,Jim Clark 🇬🇧
1965 French Grand Prix 🇫🇷,4,4,40,Lotus-Climax 🇬🇧,1965-06-27,3,+2:33.5,1965,Jim Clark 🇬🇧
1965 German Grand Prix 🇩🇪,7,4,11,Lotus-Climax 🇬🇧,1965-08-01,R,,1965,Jim Clark 🇬🇧
1965 Italian Grand Prix 🇮🇹,8,2,34,BRM 🇬🇧,1965-09-12,R,,1965,Jackie Stewart 🇬🇧
1965 Monaco Grand Prix 🇲🇨,2,5,99,BRM 🇬🇧,1965-05-30,4,,1965,Graham Hill 🇬🇧
1965 South African Grand Prix 🇿🇦,1,2,85,Lotus-Climax 🇬🇧,1965-01-01,2,+29.0,1965,Jim Clark 🇬🇧
1966 Belgian Grand Prix 🇧🇪,2,1,28,Ferrari 🇮🇹,1966-06-12,1,2:09:11.3,1966,John Surtees 🇬🇧
1966 British Grand Prix 🇬🇧,4,6,67,Brabham-Repco 🇬🇧,1966-07-16,R,,1966,Jack Brabham 🇦🇺
