name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
2013 Spanish Grand Prix 🇪🇸,5,8,66,Ferrari 🇮🇹,2013-05-12,9,+1:21.738,2013,Fernando Alonso 🇪🇸
2013 United States Grand Prix 🇺🇸,18,7,56,Red Bull 🇦🇹,2013-11-17,7,+46.692,2013,Sebastian Vettel 🇩🇪
2014 Abu Dhabi Grand Prix 🇦🇪,19,11,55,Mercedes 🇩🇪,2014-11-23,7,+1:11.060,2014,Lewis Hamilton 🇬🇧
2014 Australian Grand Prix 🇦🇺,1,16,57,Mercedes 🇩🇪,2014-03-16,10,+1:25.916,2014,Nico Rosberg 🇩🇪
2014 Austrian Grand Prix 🇦🇹,8,15,71,Mercedes 🇩🇪,2014-06-22,6,+28.546,2014,Nico Rosberg 🇩🇪
2014 Bahrain Grand Prix 🇧🇭,3,4,57,Mercedes 🇩🇪,2014-04-06,3,+24.067,2014,Lewis Hamilton 🇬🇧
2014 Belgian Grand Prix 🇧🇪,12,13,44,Red Bull 🇦🇹,2014-08-24,8,+1:04.293,2014,Daniel Ricciardo 🇦🇺
2014 Brazilian Grand Prix 🇧🇷,18,18,70,Mercedes 🇩🇪,2014-11-09,15,,2014,Nico Rosberg 🇩🇪
2014 British Grand Prix 🇬🇧,9,7,51,Mercedes 🇩🇪,2014-07-06,11,,2014,Lewis Hamilton 🇬🇧
2014 Canadian Grand Prix 🇨🇦,7,13,69,Red Bull 🇦🇹,2014-06-08,11,,2014,Daniel Ricciardo 🇦🇺
2014 Chinese Grand Prix 🇨🇳,4,16,54,Mercedes 🇩🇪,2014-04-20,9,+1:22.647,2014,Lewis Hamilton 🇬🇧
2014 German Grand Prix 🇩🇪,10,10,66,Mercedes 🇩🇪,2014-07-20,10,,2014,Nico Rosberg 🇩🇪
2014 Hungarian Grand Prix 🇭🇺,11,12,23,Red Bull 🇦🇹,2014-07-27,R,,2014,Daniel Ricciardo 🇦🇺
2014 Italian Grand Prix 🇮🇹,13,10,53,Mercedes 🇩🇪,2014-09-07,7,+1:02.518,2014,Lewis Hamilton 🇬🇧
2014 Japanese Grand Prix 🇯🇵,15,11,43,Mercedes 🇩🇪,2014-10-05,10,,2014,Lewis Hamilton 🇬🇧
2014 Malaysian Grand Prix 🇲🇾,2,14,0,Mercedes 🇩🇪,2014-03-30,W,,2014,Lewis Hamilton 🇬🇧
2014 Monaco Grand Prix 🇲🇨,6,10,0,Mercedes 🇩🇪,2014-05-25,R,,2014,Nico Rosberg 🇩🇪
2014 Russian Grand Prix 🇷🇺,16,12,53,Mercedes 🇩🇪,2014-10-12,10,+1:20.067,2014,Lewis Hamilton 🇬🇧
2014 Singapore Grand Prix 🇸🇬,14,15,60,Mercedes 🇩🇪,2014-09-21,7,+59.038,2014,Lewis Hamilton 🇬🇧
2014 Spanish Grand Prix 🇪🇸,5,11,65,Mercedes 🇩🇪,2014-05-11,9,,2014,Lewis Hamilton 🇬🇧
2014 United States Grand Prix 🇺🇸,17,11,1,Mercedes 🇩🇪,2014-11-02,R,,2014,Lewis Hamilton 🇬🇧
2015 Abu Dhabi Grand Prix 🇦🇪,19,4,55,Mercedes 🇩🇪,2015-11-29,5,+1:03.952,2015,Nico Rosberg 🇩🇪
2015 Australian Grand Prix 🇦🇺,1,14,57,Mercedes 🇩🇪,2015-03-15,10,,2015,Lewis Hamilton 🇬🇧
2015 Austrian Grand Prix 🇦🇹,8,13,70,Mercedes 🇩🇪,2015-06-21,9,,2015,Nico Rosberg 🇩🇪
2015 Bahrain Grand Prix 🇧🇭,4,11,56,Mercedes 🇩🇪,2015-04-19,8,,2015,Lewis Hamilton 🇬🇧
2015 Belgian Grand Prix 🇧🇪,11,4,43,Mercedes 🇩🇪,2015-08-23,5,+53.997,2015,Lewis Hamilton 🇬🇧
2015 Brazilian Grand Prix 🇧🇷,18,11,70,Mercedes 🇩🇪,2015-11-15,12,,2015,Nico Rosberg 🇩🇪
2015 British Grand Prix 🇬🇧,9,11,51,Mercedes 🇩🇪,2015-07-05,9,,2015,Lewis Hamilton 🇬🇧
2015 Canadian Grand Prix 🇨🇦,7,10,69,Mercedes 🇩🇪,2015-06-07,11,,2015,Lewis Hamilton 🇬🇧
2015 Chinese Grand Prix 🇨🇳,3,15,55,Mercedes 🇩🇪,2015-04-12,11,,2015,Lewis Hamilton 🇬🇧
2015 Hungarian Grand Prix 🇭🇺,10,13,53,Ferrari 🇮🇹,2015-07-26,R,,2015,Sebastian Vettel 🇩🇪
2015 Italian Grand Prix 🇮🇹,12,7,53,Mercedes 🇩🇪,2015-09-06,6,+1:12.783,2015,Lewis Hamilton 🇬🇧
2015 Japanese Grand Prix 🇯🇵,14,9,52,Mercedes 🇩🇪,2015-09-27,12,,2015,Lewis Hamilton 🇬🇧
2015 Malaysian Grand Prix 🇲🇾,2,14,55,Ferrari 🇮🇹,2015-03-29,13,,2015,Sebastian Vettel 🇩🇪
2015 Mexican Grand Prix 🇲🇽,17,9,71,Mercedes 🇩🇪,2015-11-01,8,+34.343,2015,Nico Rosberg 🇩🇪
2015 Monaco Grand Prix 🇲🇨,6,7,78,Mercedes 🇩🇪,2015-05-24,7,+15.013,2015,Nico Rosberg 🇩🇪
2015 Russian Grand Prix 🇷🇺,15,7,53,Mercedes 🇩🇪,2015-10-11,3,+28.918,2015,Lewis Hamilton 🇬🇧
2015 Singapore Grand Prix 🇸🇬,13,13,61,Ferrari 🇮🇹,2015-09-20,7,+50.836,2015,Sebastian Vettel 🇩🇪
2015 Spanish Grand Prix 🇪🇸,5,18,65,Mercedes 🇩🇪,2015-05-10,13,,2015,Nico Rosberg 🇩🇪
2015 United States Grand Prix 🇺🇸,16,5,56,Mercedes 🇩🇪,2015-10-25,5,+24.413,2015,Lewis Hamilton 🇬🇧
2016 Abu Dhabi Grand Prix 🇦🇪,21,8,55,Mercedes 🇩🇪,2016-11-27,8,+58.776,2016,Lewis Hamilton 🇬🇧
2016 Australian Grand Prix 🇦🇺,1,9,57,Mercedes 🇩🇪,2016-03-20,13,+1:31.699,2016,Nico Rosberg 🇩🇪
2016 Austrian Grand Prix 🇦🇹,9,16,69,Mercedes 🇩🇪,2016-07-03,17,,2016,Lewis Hamilton 🇬🇧
2016 Bahrain Grand Prix 🇧🇭,2,18,56,Mercedes 🇩🇪,2016-04-03,16,,2016,Nico Rosberg 🇩🇪
2016 Belgian Grand Prix 🇧🇪,13,6,44,Mercedes 🇩🇪,2016-08-28,5,+40.660,2016,Nico Rosberg 🇩🇪
2016 Brazilian Grand Prix 🇧🇷,20,9,71,Mercedes 🇩🇪,2016-11-13,4,+25.346,2016,Lewis Hamilton 🇬🇧
2016 British Grand Prix 🇬🇧,10,10,52,Mercedes 🇩🇪,2016-07-10,6,+1:16.941,2016,Lewis Hamilton 🇬🇧
2016 Canadian Grand Prix 🇨🇦,7,11,69,Mercedes 🇩🇪,2016-06-12,10,,2016,Lewis Hamilton 🇬🇧
2016 Chinese Grand Prix 🇨🇳,3,7,56,Mercedes 🇩🇪,2016-04-17,11,+1:34.283,2016,Nico Rosberg 🇩🇪
2016 European Grand Prix 🇦🇿,8,7,51,Mercedes 🇩🇪,2016-06-19,3,+25.241,2016,Nico Rosberg 🇩🇪
2016 German Grand Prix 🇩🇪,12,9,66,Mercedes 🇩🇪,2016-07-31,10,,2016,Lewis Hamilton 🇬🇧
2016 Hungarian Grand Prix 🇭🇺,11,13,69,Mercedes 🇩🇪,2016-07-24,11,,2016,Lewis Hamilton 🇬🇧
2016 Italian Grand Prix 🇮🇹,14,8,53,Mercedes 🇩🇪,2016-09-04,8,+1:04.954,2016,Nico Rosberg 🇩🇪
2016 Japanese Grand Prix 🇯🇵,17,5,53,Mercedes 🇩🇪,2016-10-09,7,+57.495,2016,Nico Rosberg 🇩🇪
2016 Malaysian Grand Prix 🇲🇾,16,7,56,Red Bull 🇦🇹,2016-10-02,6,+1:03.794,2016,Daniel Ricciardo 🇦🇺
2016 Mexican Grand Prix 🇲🇽,19,12,71,Mercedes 🇩🇪,2016-10-30,10,+1:16.798,2016,Lewis Hamilton 🇬🇧
2016 Monaco Grand Prix 🇲🇨,6,7,78,Mercedes 🇩🇪,2016-05-29,3,+13.825,2016,Lewis Hamilton 🇬🇧
2016 Russian Grand Prix 🇷🇺,4,6,52,Mercedes 🇩🇪,2016-05-01,9,,2016,Nico Rosberg 🇩🇪
2016 Singapore Grand Prix 🇸🇬,15,17,61,Mercedes 🇩🇪,2016-09-18,8,+1:51.062,2016,Nico Rosberg 🇩🇪
2016 Spanish Grand Prix 🇪🇸,5,9,66,Red Bull 🇦🇹,2016-05-15,7,+1:19.538,2016,Max Verstappen 🇳🇱
2016 United States Grand Prix 🇺🇸,18,11,55,Mercedes 🇩🇪,2016-10-23,8,,2016,Lewis Hamilton 🇬🇧
