name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1962 French Grand Prix 🇫🇷,4,6,54,Porsche 🇩🇪,1962-07-08,1,2:07:05.5,1962,Dan Gurney 🇺🇸
1962 German Grand Prix 🇩🇪,6,1,15,BRM 🇬🇧,1962-08-05,3,+4.4,1962,Graham Hill 🇬🇧
1962 Italian Grand Prix 🇮🇹,7,7,66,BRM 🇬🇧,1962-09-16,13,,1962,Graham Hill 🇬🇧
1962 Monaco Grand Prix 🇲🇨,2,5,0,Cooper-Climax 🇬🇧,1962-06-03,R,,1962,Bruce McLaren 🇳🇿
1962 United States Grand Prix 🇺🇸,8,4,99,Lotus-Climax 🇬🇧,1962-10-07,5,,1962,Jim Clark 🇬🇧
1963 Belgian Grand Prix 🇧🇪,2,2,31,Lotus-Climax 🇬🇧,1963-06-09,3,,1963,Jim Clark 🇬🇧
1963 British Grand Prix 🇬🇧,5,2,59,Lotus-Climax 🇬🇧,1963-07-20,R,,1963,Jim Clark 🇬🇧
1963 Dutch Grand Prix 🇳🇱,3,14,79,Lotus-Climax 🇬🇧,1963-06-23,2,,1963,Jim Clark 🇬🇧
1963 French Grand Prix 🇫🇷,4,3,53,Lotus-Climax 🇬🇧,1963-06-30,5,+2:33.4,1963,Jim Clark 🇬🇧
1963 German Grand Prix 🇩🇪,6,13,6,Ferrari 🇮🇹,1963-08-04,R,,1963,John Surtees 🇬🇧
1963 Italian Grand Prix 🇮🇹,7,5,64,Lotus-Climax 🇬🇧,1963-09-08,14,,1963,Jim Clark 🇬🇧
1963 Mexican Grand Prix 🇲🇽,9,4,62,Lotus-Climax 🇬🇧,1963-10-27,6,,1963,Jim Clark 🇬🇧
1963 Monaco Grand Prix 🇲🇨,1,6,25,BRM 🇬🇧,1963-05-26,R,,1963,Graham Hill 🇬🇧
1963 South African Grand Prix 🇿🇦,10,3,85,Lotus-Climax 🇬🇧,1963-12-28,2,+1:06.8,1963,Jim Clark 🇬🇧
1963 United States Grand Prix 🇺🇸,8,6,42,BRM 🇬🇧,1963-10-06,R,,1963,Graham Hill 🇬🇧
1964 Austrian Grand Prix 🇦🇹,7,4,47,Ferrari 🇮🇹,1964-08-23,R,,1964,Lorenzo Bandini 🇮🇹
1964 Belgian Grand Prix 🇧🇪,3,1,31,Lotus-Climax 🇬🇧,1964-06-14,6,,1964,Jim Clark 🇬🇧
1964 British Grand Prix 🇬🇧,5,3,75,Lotus-Climax 🇬🇧,1964-07-11,13,,1964,Jim Clark 🇬🇧
1964 Dutch Grand Prix 🇳🇱,2,1,23,Lotus-Climax 🇬🇧,1964-05-24,R,,1964,Jim Clark 🇬🇧
1964 French Grand Prix 🇫🇷,4,2,57,Brabham-Climax 🇬🇧,1964-06-28,1,2:07:49.1,1964,Dan Gurney 🇺🇸
1964 German Grand Prix 🇩🇪,6,3,14,Ferrari 🇮🇹,1964-08-02,10,,1964,John Surtees 🇬🇧
1964 Italian Grand Prix 🇮🇹,8,2,75,Ferrari 🇮🇹,1964-09-06,10,,1964,John Surtees 🇬🇧
1964 Mexican Grand Prix 🇲🇽,10,2,65,Brabham-Climax 🇬🇧,1964-10-25,1,2:09:50.32,1964,Dan Gurney 🇺🇸
1964 Monaco Grand Prix 🇲🇨,1,5,62,BRM 🇬🇧,1964-05-10,R,,1964,Graham Hill 🇬🇧
1964 United States Grand Prix 🇺🇸,9,3,69,BRM 🇬🇧,1964-10-04,R,,1964,Graham Hill 🇬🇧
1965 Belgian Grand Prix 🇧🇪,3,5,30,Lotus-Climax 🇬🇧,1965-06-13,10,,1965,Jim Clark 🇬🇧
1965 British Grand Prix 🇬🇧,5,7,79,Lotus-Climax 🇬🇧,1965-07-10,6,,1965,Jim Clark 🇬🇧
1965 Dutch Grand Prix 🇳🇱,6,5,80,Lotus-Climax 🇬🇧,1965-07-18,3,+13.0,1965,Jim Clark 🇬🇧
1965 French Grand Prix 🇫🇷,4,5,16,Lotus-Climax 🇬🇧,1965-06-27,R,,1965,Jim Clark 🇬🇧
1965 German Grand Prix 🇩🇪,7,5,15,Lotus-Climax 🇬🇧,1965-08-01,3,+21.4,1965,Jim Clark 🇬🇧
1965 Italian Grand Prix 🇮🇹,8,9,76,BRM 🇬🇧,1965-09-12,3,+16.5,1965,Jackie Stewart 🇬🇧
1965 Mexican Grand Prix 🇲🇽,10,2,65,Honda 🇯🇵,1965-10-24,2,+2.89,1965,Richie Ginther 🇺🇸
1965 South African Grand Prix 🇿🇦,1,9,11,Lotus-Climax 🇬🇧,1965-01-01,R,,1965,Jim Clark 🇬🇧
1965 United States Grand Prix 🇺🇸,9,8,110,BRM 🇬🇧,1965-10-03,2,+12.5,1965,Graham Hill 🇬🇧
1966 Belgian Grand Prix 🇧🇪,2,15,23,Ferrari 🇮🇹,1966-06-12,N,,1966,John Surtees 🇬🇧
1966 British Grand Prix 🇬🇧,4,3,9,Brabham-Repco 🇬🇧,1966-07-16,R,,1966,Jack Brabham 🇦🇺
1966 Dutch Grand Prix 🇳🇱,5,4,26,Brabham-Repco 🇬🇧,1966-07-24,R,,1966,Jack Brabham 🇦🇺
1966 French Grand Prix 🇫🇷,3,14,45,Brabham-Repco 🇬🇧,1966-07-03,5,,1966,Jack Brabham 🇦🇺
1966 German Grand Prix 🇩🇪,6,8,14,Brabham-Repco 🇬🇧,1966-08-07,7,,1966,Jack Brabham 🇦🇺
1966 Italian Grand Prix 🇮🇹,7,19,7,Ferrari 🇮🇹,1966-09-04,R,,1966,Ludovico Scarfiotti 🇮🇹
1966 Mexican Grand Prix 🇲🇽,9,9,64,Cooper-Maserati 🇬🇧,1966-10-23,5,,1966,John Surtees 🇬🇧
1966 United States Grand Prix 🇺🇸,8,14,13,Lotus-BRM 🇬🇧,1966-10-02,R,,1966,Jim Clark 🇬🇧
1967 Belgian Grand Prix 🇧🇪,4,2,28,Eagle-Weslake 🇺🇸,1967-06-18,1,1:40:49.4,1967,Dan Gurney 🇺🇸
1967 British Grand Prix 🇬🇧,6,5,34,Lotus-Ford 🇬🇧,1967-07-15,R,,1967,Jim Clark 🇬🇧
1967 Canadian Grand Prix 🇨🇦,8,5,89,Brabham-Repco 🇬🇧,1967-08-27,3,,1967,Jack Brabham 🇦🇺
