name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1975 Italian Grand Prix 🇮🇹,13,2,52,Ferrari 🇮🇹,1975-09-07,1,1:22:42.6,1975,Clay Regazzoni 🇨🇭
1975 Monaco Grand Prix 🇲🇨,5,17,36,Ferrari 🇮🇹,1975-05-11,R,,1975,Niki Lauda 🇦🇹
1975 South African Grand Prix 🇿🇦,3,9,71,Tyrrell 🇬🇧,1975-03-01,16,,1975,Jody Scheckter 🇿🇦
1975 Spanish Grand Prix 🇪🇸,4,2,25,McLaren 🇬🇧,1975-04-27,N,,1975,Jochen Mass 🇩🇪
1975 Swedish Grand Prix 🇸🇪,7,12,80,Ferrari 🇮🇹,1975-06-08,3,+29.095,1975,Niki Lauda 🇦🇹
1975 United States Grand Prix 🇺🇸,14,11,0,Ferrari 🇮🇹,1975-10-05,W,,1975,Niki Lauda 🇦🇹
1976 Belgian Grand Prix 🇧🇪,5,2,70,Ferrari 🇮🇹,1976-05-16,2,+3.46,1976,Niki Lauda 🇦🇹
1976 Brazilian Grand Prix 🇧🇷,1,4,40,Ferrari 🇮🇹,1976-01-25,7,+2:15.24,1976,Niki Lauda 🇦🇹
1976 British Grand Prix 🇬🇧,9,4,36,Ferrari 🇮🇹,1976-07-18,D,,1976,Niki Lauda 🇦🇹
1976 Canadian Grand Prix 🇨🇦,14,12,80,McLaren 🇬🇧,1976-10-03,6,+46.256,1976,James Hunt 🇬🇧
1976 Dutch Grand Prix 🇳🇱,12,5,75,McLaren 🇬🇧,1976-08-29,2,+0.92,1976,James Hunt 🇬🇧
1976 French Grand Prix 🇫🇷,8,4,17,McLaren 🇬🇧,1976-07-04,R,,1976,James Hunt 🇬🇧
1976 German Grand Prix 🇩🇪,10,5,14,McLaren 🇬🇧,1976-08-01,9,+3:46.0,1976,James Hunt 🇬🇧
1976 Italian Grand Prix 🇮🇹,13,9,52,March 🇬🇧,1976-09-12,2,+2.3,1976,Ronnie Peterson 🇸🇪
1976 Japanese Grand Prix 🇯🇵,16,7,72,Team Lotus 🇬🇧,1976-10-24,5,,1976,Mario Andretti 🇺🇸
1976 Monaco Grand Prix 🇲🇨,6,2,73,Ferrari 🇮🇹,1976-05-30,14,,1976,Niki Lauda 🇦🇹
1976 South African Grand Prix 🇿🇦,2,9,52,Ferrari 🇮🇹,1976-03-06,R,,1976,Niki Lauda 🇦🇹
1976 Spanish Grand Prix 🇪🇸,4,5,72,McLaren 🇬🇧,1976-05-02,11,,1976,James Hunt 🇬🇧
1976 Swedish Grand Prix 🇸🇪,7,11,72,Tyrrell 🇬🇧,1976-06-13,6,+1:00.366,1976,Jody Scheckter 🇿🇦
1976 United States Grand Prix West 🇺🇸,3,1,80,Ferrari 🇮🇹,1976-03-28,1,1:53:18.471,1976,Clay Regazzoni 🇨🇭
1976 United States Grand Prix 🇺🇸,15,14,58,McLaren 🇬🇧,1976-10-10,7,,1976,James Hunt 🇬🇧
1977 Argentine Grand Prix 🇦🇷,1,12,51,Wolf 🇨🇦,1977-01-09,6,,1977,Jody Scheckter 🇿🇦
1977 Austrian Grand Prix 🇦🇹,12,11,0,Shadow 🇬🇧,1977-08-14,R,,1977,Alan Jones 🇦🇺
1977 Belgian Grand Prix 🇧🇪,7,13,29,Team Lotus 🇬🇧,1977-06-05,R,,1977,Gunnar Nilsson 🇸🇪
1977 Brazilian Grand Prix 🇧🇷,2,9,12,Ferrari 🇮🇹,1977-01-23,R,,1977,Carlos Reutemann 🇦🇷
1977 British Grand Prix 🇬🇧,10,0,0,McLaren 🇬🇧,1977-07-16,F,,1977,James Hunt 🇬🇧
1977 Canadian Grand Prix 🇨🇦,16,14,0,Wolf 🇨🇦,1977-10-09,R,,1977,Jody Scheckter 🇿🇦
1977 Dutch Grand Prix 🇳🇱,13,9,17,Ferrari 🇮🇹,1977-08-28,R,,1977,Niki Lauda 🇦🇹
1977 French Grand Prix 🇫🇷,9,16,79,Team Lotus 🇬🇧,1977-07-03,7,,1977,Mario Andretti 🇺🇸
1977 Italian Grand Prix 🇮🇹,14,7,52,Team Lotus 🇬🇧,1977-09-11,5,+30.11,1977,Mario Andretti 🇺🇸
1977 Japanese Grand Prix 🇯🇵,17,10,43,McLaren 🇬🇧,1977-10-23,R,,1977,James Hunt 🇬🇧
1977 Monaco Grand Prix 🇲🇨,6,0,0,Wolf 🇨🇦,1977-05-22,F,,1977,Jody Scheckter 🇿🇦
1977 South African Grand Prix 🇿🇦,3,16,78,Ferrari 🇮🇹,1977-03-05,9,+46.2,1977,Niki Lauda 🇦🇹
1977 Spanish Grand Prix 🇪🇸,5,8,9,Team Lotus 🇬🇧,1977-05-08,R,,1977,Mario Andretti 🇺🇸
1977 Swedish Grand Prix 🇸🇪,8,14,72,Ligier 🇫🇷,1977-06-19,7,+31.266,1977,Jacques Laffite 🇫🇷
1977 United States Grand Prix West 🇺🇸,4,13,57,Team Lotus 🇬🇧,1977-04-03,R,,1977,Mario Andretti 🇺🇸
1977 United States Grand Prix 🇺🇸,15,19,59,McLaren 🇬🇧,1977-10-02,5,+1:48.138,1977,James Hunt 🇬🇧
1978 Argentine Grand Prix 🇦🇷,1,16,51,Team Lotus 🇬🇧,1978-01-15,15,,1978,Mario Andretti 🇺🇸
1978 Austrian Grand Prix 🇦🇹,12,22,50,Team Lotus 🇬🇧,1978-08-13,N,,1978,Ronnie Peterson 🇸🇪
1978 Belgian Grand Prix 🇧🇪,6,18,40,Team Lotus 🇬🇧,1978-05-21,R,,1978,Mario Andretti 🇺🇸
1978 Brazilian Grand Prix 🇧🇷,2,15,62,Ferrari 🇮🇹,1978-01-29,5,,1978,Carlos Reutemann 🇦🇷
1978 British Grand Prix 🇬🇧,10,17,49,Ferrari 🇮🇹,1978-07-16,R,,1978,Carlos Reutemann 🇦🇷
1978 Canadian Grand Prix 🇨🇦,16,0,0,Ferrari 🇮🇹,1978-10-08,F,,1978,Gilles Villeneuve 🇨🇦
1978 Dutch Grand Prix 🇳🇱,13,0,0,Team Lotus 🇬🇧,1978-08-27,F,,1978,Mario Andretti 🇺🇸
1978 French Grand Prix 🇫🇷,9,17,4,Team Lotus 🇬🇧,1978-07-02,R,,1978,Mario Andretti 🇺🇸
1978 German Grand Prix 🇩🇪,11,0,0,Team Lotus 🇬🇧,1978-07-30,F,,1978,Mario Andretti 🇺🇸
1978 Italian Grand Prix 🇮🇹,14,15,33,Brabham 🇬🇧,1978-09-10,N,,1978,Niki Lauda 🇦🇹
1978 Monaco Grand Prix 🇲🇨,5,0,0,Tyrrell 🇬🇧,1978-05-07,F,,1978,Patrick Depailler 🇫🇷
1978 South African Grand Prix 🇿🇦,3,0,0,Team Lotus 🇬🇧,1978-03-04,F,,1978,Ronnie Peterson 🇸🇪
1978 Spanish Grand Prix 🇪🇸,7,22,67,Team Lotus 🇬🇧,1978-06-04,15,,1978,Mario Andretti 🇺🇸
1978 Swedish Grand Prix 🇸🇪,8,16,69,Brabham 🇬🇧,1978-06-17,5,,1978,Niki Lauda 🇦🇹
1978 United States Grand Prix West 🇺🇸,4,20,79,Ferrari 🇮🇹,1978-04-02,10,,1978,Carlos Reutemann 🇦🇷
1978 United States Grand Prix 🇺🇸,15,17,56,Ferrari 🇮🇹,1978-10-01,14,,1978,Carlos Reutemann 🇦🇷
1979 Argentine Grand Prix 🇦🇷,1,17,51,Ligier 🇫🇷,1979-01-21,10,,1979,Jacques Laffite 🇫🇷
1979 Austrian Grand Prix 🇦🇹,11,6,54,Williams 🇬🇧,1979-08-12,5,+48.92,1979,Alan Jones 🇦🇺
1979 Belgian Grand Prix 🇧🇪,6,8,1,Ferrari 🇮🇹,1979-05-13,R,,1979,Jody Scheckter 🇿🇦
1979 Brazilian Grand Prix 🇧🇷,2,17,38,Ligier 🇫🇷,1979-02-04,15,,1979,Jacques Laffite 🇫🇷
1979 British Grand Prix 🇬🇧,9,4,68,Williams 🇬🇧,1979-07-14,1,1:26:11.17,1979,Clay Regazzoni 🇨🇭
1979 Canadian Grand Prix 🇨🇦,14,3,72,Williams 🇬🇧,1979-09-30,3,+1:13.656,1979,Alan Jones 🇦🇺
1979 Dutch Grand Prix 🇳🇱,12,3,0,Williams 🇬🇧,1979-08-26,R,,1979,Alan Jones 🇦🇺
1979 French Grand Prix 🇫🇷,8,9,80,Renault 🇫🇷,1979-07-01,6,+1:05.51,1979,Jean-Pierre Jabouille 🇫🇷
1979 German Grand Prix 🇩🇪,10,6,45,Williams 🇬🇧,1979-07-29,2,+2.91,1979,Alan Jones 🇦🇺
1979 Italian Grand Prix 🇮🇹,13,6,50,Ferrari 🇮🇹,1979-09-09,3,+4.78,1979,Jody Scheckter 🇿🇦
1979 Monaco Grand Prix 🇲🇨,7,16,76,Ferrari 🇮🇹,1979-05-27,2,+0.44,1979,Jody Scheckter 🇿🇦
1979 South African Grand Prix 🇿🇦,3,22,76,Ferrari 🇮🇹,1979-03-03,9,,1979,Gilles Villeneuve 🇨🇦
1979 Spanish Grand Prix 🇪🇸,5,14,32,Ligier 🇫🇷,1979-04-29,R,,1979,Patrick Depailler 🇫🇷
1979 United States Grand Prix West 🇺🇸,4,15,48,Ferrari 🇮🇹,1979-04-08,R,,1979,Gilles Villeneuve 🇨🇦
1979 United States Grand Prix 🇺🇸,15,5,29,Ferrari 🇮🇹,1979-10-07,R,,1979,Gilles Villeneuve 🇨🇦
1980 Argentine Grand Prix 🇦🇷,1,15,44,Williams 🇬🇧,1980-01-13,N,,1980,Alan Jones 🇦🇺
1980 Brazilian Grand Prix 🇧🇷,2,12,13,Renault 🇫🇷,1980-01-27,R,,1980,René Arnoux 🇫🇷
1980 South African Grand Prix 🇿🇦,3,20,77,Renault 🇫🇷,1980-03-01,9,,1980,René Arnoux 🇫🇷
1980 United States Grand Prix West 🇺🇸,4,23,50,Brabham 🇬🇧,1980-03-30,R,,1980,Nelson Piquet 🇧🇷
