name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1972 Italian Grand Prix 🇮🇹,10,9,55,Team Lotus 🇬🇧,1972-09-10,2,+14.5,1972,Emerson Fittipaldi 🇧🇷
1972 Monaco Grand Prix 🇲🇨,4,11,48,BRM 🇬🇧,1972-05-14,R,,1972,Jean-Pierre Beltoise 🇫🇷
1972 South African Grand Prix 🇿🇦,2,4,28,McLaren 🇬🇧,1972-03-04,R,,1972,Denny Hulme 🇳🇿
1972 Spanish Grand Prix 🇪🇸,3,15,20,Team Lotus 🇬🇧,1972-05-01,R,,1972,Emerson Fittipaldi 🇧🇷
1972 United States Grand Prix 🇺🇸,12,14,56,Tyrrell 🇬🇧,1972-10-08,17,,1972,Jackie Stewart 🇬🇧
1973 Argentine Grand Prix 🇦🇷,1,10,10,Team Lotus 🇬🇧,1973-01-28,R,,1973,Emerson Fittipaldi 🇧🇷
1973 Austrian Grand Prix 🇦🇹,12,15,49,Team Lotus 🇬🇧,1973-08-19,10,,1973,Ronnie Peterson 🇸🇪
1973 Belgian Grand Prix 🇧🇪,5,13,4,Tyrrell 🇬🇧,1973-05-20,R,,1973,Jackie Stewart 🇬🇧
1973 Brazilian Grand Prix 🇧🇷,2,14,6,Team Lotus 🇬🇧,1973-02-11,R,,1973,Emerson Fittipaldi 🇧🇷
1973 British Grand Prix 🇬🇧,9,12,0,McLaren 🇬🇧,1973-07-14,R,,1973,Peter Revson 🇺🇸
1973 Canadian Grand Prix 🇨🇦,14,12,78,McLaren 🇬🇧,1973-09-23,9,,1973,Peter Revson 🇺🇸
1973 Dutch Grand Prix 🇳🇱,10,24,52,Tyrrell 🇬🇧,1973-07-29,R,,1973,Jackie Stewart 🇬🇧
1973 French Grand Prix 🇫🇷,8,11,29,Team Lotus 🇬🇧,1973-07-01,R,,1973,Ronnie Peterson 🇸🇪
1973 German Grand Prix 🇩🇪,11,18,13,Tyrrell 🇬🇧,1973-08-05,14,,1973,Jackie Stewart 🇬🇧
1973 Italian Grand Prix 🇮🇹,13,8,55,Team Lotus 🇬🇧,1973-09-09,7,+1:28.7,1973,Ronnie Peterson 🇸🇪
1973 Monaco Grand Prix 🇲🇨,6,13,75,Tyrrell 🇬🇧,1973-06-03,8,,1973,Jackie Stewart 🇬🇧
1973 South African Grand Prix 🇿🇦,3,12,2,Tyrrell 🇬🇧,1973-03-03,R,,1973,Jackie Stewart 🇬🇧
1973 Spanish Grand Prix 🇪🇸,4,9,25,Team Lotus 🇬🇧,1973-04-29,R,,1973,Emerson Fittipaldi 🇧🇷
1973 Swedish Grand Prix 🇸🇪,7,10,41,McLaren 🇬🇧,1973-06-17,R,,1973,Denny Hulme 🇳🇿
1973 United States Grand Prix 🇺🇸,15,6,34,Team Lotus 🇬🇧,1973-10-07,R,,1973,Ronnie Peterson 🇸🇪
1974 Argentine Grand Prix 🇦🇷,1,9,53,McLaren 🇬🇧,1974-01-13,4,+31.79,1974,Denny Hulme 🇳🇿
1974 Belgian Grand Prix 🇧🇪,5,13,84,McLaren 🇬🇧,1974-05-12,7,,1974,Emerson Fittipaldi 🇧🇷
1974 Brazilian Grand Prix 🇧🇷,2,7,31,McLaren 🇬🇧,1974-01-27,5,,1974,Emerson Fittipaldi 🇧🇷
1974 British Grand Prix 🇬🇧,10,11,57,Tyrrell 🇬🇧,1974-07-20,R,,1974,Jody Scheckter 🇿🇦
1974 Dutch Grand Prix 🇳🇱,8,4,75,Ferrari 🇮🇹,1974-06-23,4,+31.29,1974,Niki Lauda 🇦🇹
1974 French Grand Prix 🇫🇷,9,6,79,Team Lotus 🇬🇧,1974-07-07,7,,1974,Ronnie Peterson 🇸🇪
1974 German Grand Prix 🇩🇪,11,12,12,Ferrari 🇮🇹,1974-08-04,15,,1974,Clay Regazzoni 🇨🇭
1974 Monaco Grand Prix 🇲🇨,6,10,11,Team Lotus 🇬🇧,1974-05-26,R,,1974,Ronnie Peterson 🇸🇪
1974 South African Grand Prix 🇿🇦,3,12,78,Brabham 🇬🇧,1974-03-30,3,+42.16,1974,Carlos Reutemann 🇦🇷
1974 Spanish Grand Prix 🇪🇸,4,17,81,Ferrari 🇮🇹,1974-04-28,9,,1974,Niki Lauda 🇦🇹
1974 Swedish Grand Prix 🇸🇪,7,11,5,Tyrrell 🇬🇧,1974-06-09,R,,1974,Jody Scheckter 🇿🇦
