name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1958 Moroccan Grand Prix 🇲🇦,11,14,51,Vanwall 🇬🇧,1958-10-19,7,,1958,Stirling Moss 🇬🇧
1958 Portuguese Grand Prix 🇵🇹,9,11,46,Vanwall 🇬🇧,1958-08-24,9,,1958,Stirling Moss 🇬🇧
1959 British Grand Prix 🇬🇧,5,2,74,Cooper-Climax 🇬🇧,1959-07-18,6,,1959,Jack Brabham 🇦🇺
1959 Dutch Grand Prix 🇳🇱,3,13,3,BRM 🇬🇧,1959-05-31,R,,1959,Jo Bonnier 🇸🇪
1959 French Grand Prix 🇫🇷,4,16,20,Ferrari 🇮🇹,1959-07-05,R,,1959,Tony Brooks 🇬🇧
1959 Italian Grand Prix 🇮🇹,8,17,44,Cooper-Climax 🇬🇧,1959-09-13,R,,1959,Stirling Moss 🇬🇧
1959 Monaco Grand Prix 🇲🇨,1,8,83,Cooper-Climax 🇬🇧,1959-05-10,6,,1959,Jack Brabham 🇦🇺
1959 Portuguese Grand Prix 🇵🇹,7,12,59,Cooper-Climax 🇬🇧,1959-08-23,6,,1959,Stirling Moss 🇬🇧
1959 United States Grand Prix 🇺🇸,9,11,23,Cooper-Climax 🇬🇧,1959-12-12,R,,1959,Bruce McLaren 🇳🇿
1960 British Grand Prix 🇬🇧,7,13,46,Cooper-Climax 🇬🇧,1960-07-16,R,,1960,Jack Brabham 🇦🇺
1960 Dutch Grand Prix 🇳🇱,4,0,0,Cooper-Climax 🇬🇧,1960-06-06,W,,1960,Jack Brabham 🇦🇺
1960 Monaco Grand Prix 🇲🇨,2,12,29,Team Lotus 🇬🇧,1960-05-29,R,,1960,Stirling Moss 🇬🇧
1960 United States Grand Prix 🇺🇸,10,15,73,Team Lotus 🇬🇧,1960-11-20,8,,1960,Stirling Moss 🇬🇧
1961 British Grand Prix 🇬🇧,5,13,75,Ferrari 🇮🇹,1961-07-15,6,+1:26.2,1961,Wolfgang von Trips 🇩🇪
1961 French Grand Prix 🇫🇷,4,15,51,Ferrari 🇮🇹,1961-07-02,8,,1961,Giancarlo Baghetti 🇮🇹
1961 German Grand Prix 🇩🇪,6,15,15,Lotus-Climax 🇬🇧,1961-08-06,10,+12:11.5,1961,Stirling Moss 🇬🇧
1961 Italian Grand Prix 🇮🇹,7,18,42,Ferrari 🇮🇹,1961-09-10,6,,1961,Phil Hill 🇺🇸
1961 United States Grand Prix 🇺🇸,8,12,96,Lotus-Climax 🇬🇧,1961-10-08,R,,1961,Innes Ireland 🇬🇧
1962 Belgian Grand Prix 🇧🇪,3,0,0,Lotus-Climax 🇬🇧,1962-06-17,W,,1962,Jim Clark 🇬🇧
1962 British Grand Prix 🇬🇧,5,11,35,Lotus-Climax 🇬🇧,1962-07-21,R,,1962,Jim Clark 🇬🇧
1962 Dutch Grand Prix 🇳🇱,1,17,12,BRM 🇬🇧,1962-05-20,R,,1962,Graham Hill 🇬🇧
1962 French Grand Prix 🇫🇷,4,14,21,Porsche 🇩🇪,1962-07-08,R,,1962,Dan Gurney 🇺🇸
1962 German Grand Prix 🇩🇪,6,9,4,BRM 🇬🇧,1962-08-05,R,,1962,Graham Hill 🇬🇧
1962 Italian Grand Prix 🇮🇹,7,13,41,BRM 🇬🇧,1962-09-16,R,,1962,Graham Hill 🇬🇧
1962 Monaco Grand Prix 🇲🇨,2,12,44,Cooper-Climax 🇬🇧,1962-06-03,R,,1962,Bruce McLaren 🇳🇿
1962 South African Grand Prix 🇿🇦,9,11,56,BRM 🇬🇧,1962-12-29,R,,1962,Graham Hill 🇬🇧
1962 United States Grand Prix 🇺🇸,8,0,0,Lotus-Climax 🇬🇧,1962-10-07,W,,1962,Jim Clark 🇬🇧
